id,title,company,sector,location,skills_required,education_required,duration_months,stipend,description
1,Digital Marketing Assistant,Reliance Industries,Digital Marketing,Mumbai,"Communication, Basic Computer, Social Media",12th Pass,12,5000,"Learn digital marketing strategies, social media management, and online campaign creation."
2,Data Entry Clerk,Tata Consultancy Services,IT Services,Bangalore,"MS Office, Data Entry, Attention to Detail",Graduation,12,6000,"Maintain accurate data records, process information, and support database management."
3,Customer Service Representative,HDFC Bank,Banking,Delhi,"Communication, Problem Solving, Phone Skills",12th Pass,12,5500,"Handle customer inquiries, resolve issues, and provide excellent customer service."
4,Sales Associate,Flipkart,E-commerce,Bangalore,"Sales, Communication, Product Knowledge",12th Pass,12,5000,"Assist customers with product selection, process sales, and meet targets."
5,Administrative Assistant,Infosys,IT Services,Hyderabad,"MS Office, Organization, Communication",Graduation,12,5500,"Support office operations, manage schedules, and coordinate meetings."
6,Content Writer,Wipro,IT Services,Pune,"Writing, Research, Content Creation",Graduation,12,7000,"Create engaging content for websites, blogs, and marketing materials."
7,Social Media Coordinator,ICICI Bank,Banking,Chennai,"Social Media, Creativity, Analytics",12th Pass,12,6000,"Manage social media accounts, create posts, and engage with followers."
8,Finance Assistant,Asian Paints,Manufacturing,Kolkata,"Excel, Accounting Basics, Analysis",Commerce Graduate,12,6500,"Assist with financial record keeping, invoice processing, and budget tracking."
9,HR Trainee,Mahindra Group,Automotive,Mumbai,"Communication, HR Knowledge, Organization",Graduation,12,5500,"Support recruitment processes, employee onboarding, and HR documentation."
10,Operations Support Specialist,Larsen & Toubro,Engineering,Mumbai,"Operations, Process Management, Analytics",Engineering/Graduation,12,6000,"Streamline operations, improve processes, and support daily business functions."
11,Quality Control Trainee,ITC Limited,FMCG,Kolkata,"Quality Control, Attention to Detail, Manufacturing",12th Pass/ITI,12,5000,"Inspect products for quality, conduct tests, and maintain quality standards."
12,Supply Chain Assistant,HUL,FMCG,Mumbai,"Supply Chain, Logistics, Coordination",Graduation,12,5500,"Coordinate supply chain activities, manage inventory, and track shipments."
13,IT Support Technician,Tech Mahindra,IT Services,Bangalore,"Computer Hardware, Troubleshooting, Customer Service",Engineering/IT Graduate,12,6500,"Provide technical support, troubleshoot issues, and maintain IT systems."
14,Research Analyst,Bajaj Auto,Automotive,Pune,"Research, Analysis, Report Writing",Graduation,12,7000,"Conduct research, analyze data, and prepare detailed reports."
15,Banking Operations Trainee,State Bank of India,Banking,Mumbai,"Banking Operations, Customer Service, Finance",Graduation,12,6000,"Learn banking operations, process transactions, and assist customers."
16,Retail Management Trainee,Big Bazaar,Retail,Delhi,"Management, Sales, Customer Service",12th Pass,12,5000,"Support store management, handle customer service, and learn retail operations."
17,Manufacturing Trainee,Maruti Suzuki,Automotive,Gurgaon,"Manufacturing, Safety, Quality Control",12th Pass/ITI,12,5500,"Learn manufacturing processes, ensure safety compliance, and maintain quality."
18,Hospitality Associate,Taj Hotels,Hospitality,Delhi,"Customer Service, Hospitality, Communication",12th Pass,12,5000,"Provide excellent guest service, handle bookings, and support hotel operations."
19,Healthcare Assistant,Apollo Hospitals,Healthcare,Chennai,"Healthcare, Patient Care, Empathy",12th Pass/ANM,12,5500,"Assist healthcare professionals, support patient care, and maintain records."
20,Education Support Coordinator,BYJU'S,Education,Bangalore,"Education, Communication, Technology",Graduation,12,6000,"Support educational programs, assist students, and coordinate learning activities."
